name,year,make,model,variant,classic_market_url
Ferrari F50,1995,Ferrari,F50,,https://www.classic.com/m/ferrari/f50/
Ferrari Challenge Stradale,2004,Ferrari,360,Challenge Stradale,https://www.classic.com/m/ferrari/360/challenge-stradale/
